Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Jonny DeLuca,23.0,26.0,CF,0.6,20,59,57,5,19,1,3,0,4,6,0,2,13,0.333,0.356,0.456,0.812,126.0,0.365,119.0,26,0,0,0,0,0,8/HD,,delucjo01
Richie Palacios*,24.0,28.0,UT,0.0,17,48,42,10,14,2,0,1,3,4,0,5,9,0.333,0.396,0.452,0.848,138.0,0.389,140.0,19,3,0,0,1,0,/473DH9,,palacri01
Travis Jankowski*,25.0,34.0,OF,0.0,14,34,31,6,8,2,0,0,2,2,0,2,9,0.258,0.294,0.323,0.617,73.0,0.279,64.0,10,0,0,0,1,0,/97H,,jankotr01
Tristan Peters*,26.0,25.0,CF,-0.4,4,12,12,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100.0,0.0,-129.0,0,0,0,0,0,0,/8,,petertr01
Coco Montes,27.0,28.0,UT,0.1,5,10,10,0,2,0,0,0,1,0,0,0,3,0.2,0.2,0.2,0.4,13.0,0.178,0.0,2,0,0,0,0,0,/457,,monteco01
Connor Seabold,28.0,29.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,seaboco01
Kevin Kelly,29.0,27.0,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kellyke02
Team Totals,,,,21.7,162,6045,5470,714,1374,242,16,182,680,194,48,468,1397,0.251,0.313,0.401,0.714,99.0,0.317,99.0,2194,109,46,16,43,10,,,-9999
Carlos Narváez,1.0,26.0,C,2.6,118,446,403,51,97,27,0,15,50,1,1,38,111,0.241,0.306,0.419,0.726,100.0,0.311,97.0,169,12,1,2,2,0,*2/HD,ROY-6,narvaca01
Abraham Toro#,2.0,28.0,1B,-0.2,77,284,259,33,62,13,0,7,27,2,1,14,42,0.239,0.289,0.371,0.659,83.0,0.299,88.0,96,1,6,0,5,1,35/H1,,toroab01
Kristian Campbell,3.0,23.0,2B,-1.0,67,263,229,24,51,10,0,6,21,2,1,29,72,0.223,0.319,0.345,0.664,86.0,0.299,88.0,79,1,4,0,1,0,4/8H7D,,campbkr01
Trevor Story,4.0,32.0,SS,3.8,157,654,612,91,161,29,0,25,96,31,1,33,176,0.263,0.308,0.433,0.741,104.0,0.333,105.0,265,3,7,1,1,1,*6/HD,,storytr01
Alex Bregman,5.0,31.0,3B,3.5,114,495,433,64,118,28,0,18,62,1,1,51,70,0.273,0.36,0.462,0.821,128.0,0.357,130.0,200,12,9,0,2,3,*5/HD,AS,bregmal01
Jarren Duran*,6.0,28.0,LF,4.7,157,696,620,86,159,41,13,16,84,24,6,60,169,0.256,0.332,0.442,0.774,114.0,0.345,118.0,274,6,12,1,3,1,*78/H9D,,duranja01
Ceddanne Rafaela,7.0,24.0,CF,4.7,156,587,546,84,136,34,4,16,63,20,5,28,117,0.249,0.295,0.414,0.708,95.0,0.309,92.0,226,9,8,3,2,0,*84/H,GG,rafaece01
Wilyer Abreu*,8.0,26.0,RF,3.2,115,417,373,53,92,17,0,22,69,6,3,40,101,0.247,0.317,0.469,0.786,116.0,0.332,112.0,175,8,0,1,3,5,9H/D,GG,abreuwi02
Rafael Devers*,9.0,28.0,DH,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,0.272,0.401,0.504,0.905,151.0,0.387,153.0,137,7,4,0,2,7,D,,deverra01
Romy González,10.0,28.0,IF,2.0,96,341,315,47,96,23,3,9,53,6,5,18,81,0.305,0.343,0.483,0.826,128.0,0.363,137.0,152,8,3,0,5,1,34H/D5,,gonzaro01
Roman Anthony*,11.0,21.0,OF,3.1,71,303,257,48,75,18,1,8,32,4,1,40,84,0.292,0.396,0.463,0.859,140.0,0.375,142.0,119,2,5,0,1,0,97D/H,ROY-3,anthoro01
Rob Refsnyder,12.0,34.0,RF,1.2,70,209,182,29,49,12,0,9,30,3,0,24,54,0.269,0.354,0.484,0.838,131.0,0.368,135.0,88,6,1,0,2,1,9HD7,,refsnro01
Masataka Yoshida*,13.0,31.0,DH,0.2,55,205,188,16,50,11,0,4,26,3,0,10,24,0.266,0.307,0.388,0.696,93.0,0.32,100.0,73,3,3,0,4,0,D/H79,,yoshima02
David Hamilton*,14.0,27.0,2B,1.0,91,194,177,27,35,4,1,6,19,22,6,13,47,0.198,0.257,0.333,0.59,63.0,0.274,60.0,59,3,1,3,0,0,4H6/D5,,hamilda03
Connor Wong,15.0,29.0,C,-0.6,63,188,168,16,32,8,0,0,7,2,1,16,42,0.19,0.262,0.238,0.5,42.0,0.242,46.0,40,7,1,1,2,0,2/H3D,,wongco01
Marcelo Mayer*,16.0,22.0,3B,0.2,44,136,127,20,29,8,1,4,10,0,2,8,41,0.228,0.272,0.402,0.674,85.0,0.288,85.0,51,2,0,0,1,0,5/4H6,,mayerma01
